Nation,Cement 2007 (Gg),Cement 2008 (Gg),Clinker 2007 (Gg),Clinker 2008 (Gg)
United States (includes Puerto Rico),96500,89100,102000,104000
Brazil,46400,48000,45000,45000
China,1350000,1450000,1300000,1400000
Egypt,38400,40000,37000,38000
France,22300,22000,22000,22000
Germany,33400,33000,31000,31000
India,170000,175000,160000,170000
Indonesia,36000,36000,42000,42000
Iran,36000,35000,35000,36000
Italy,47500,47000,46000,46000
Japan,67700,67000,70000,70000
Korea Republic of,57000,56000,62000,62000
Mexico,40700,40000,40000,40000
Pakistan,26000,30000,35000,36000
Russia,59900,61000,65000,65000
Saudi Arabia,30400,30000,29000,29000
Spain,54500,55000,42000,42000
Thailand,35700,35000,50000,50000
Turkey,49500,48000,45000,45000
Vietnam,36400,37000,32000,35000
Other countries (rounded),437000,466000,420000,430000
World total (rounded),2770000,2900000,2700000,2800000
