Nation,Cement 2016 (Gg),Cement 2017 (Gg),Clinker 2016 (Gg),Clinker 2017 (Gg)
United States (includes Puerto Rico),85000,86300,107000,109000
Brazil,57000,54000,60000,60000
China,2400000,2400000,2000000,2000000
Egypt,55000,58000,46000,48000
India,280000,270000,280000,280000
Indonesia,63000,66000,78000,78000
Iran,55000,56000,79000,80000
Japan,53300,53000,53000,53000
Korea Republic of,57000,59000,50000,50000
Russia,56000,58000,80000,80000
Saudi Arabia,62000,63000,75000,75000
Turkey,75400,77000,80000,82000
Vietnam,77300,78000,90000,90000
Other countries (rounded),724000,750000,625000,721000
World total (rounded),4100000,4100000,3700000,3800000
