Nation,Cement 1994 (Gg),Cement 1995 (Gg),Clinker 1994 (Gg),Clinker 1995 (Gg)
United States (includes Puerto Rico),77900,77000,76000,76000
Brazil,26000,28000,31000,31000
China,400000,410000,360000,362000
France,20200,24000,27000,27000
Germany,40400,40400,49000,49000
India,54000,55000,64000,64000
Italy,40000,45000,45000,45000
Japan,91500,92000,93000,93000
Korea Republic of,52100,53000,45000,45000
Russia,50000,55000,140000,140000
Spain,26000,30000,30000,30000
Turkey,30000,32000,27000,27000
Other countries,461000,445000,411000,415000
World total (rounded),1370000,1390000,1400000,1400000
