Nation,Cement 2018 (Gg),Cement 2019 (Gg),Clinker 2018 (Gg),Clinker 2019 (Gg)
United States (includes Puerto Rico),87000,89000,103000,103000
Brazil,53000,55000,60000,60000
China,2200000,2200000,2000000,1970000
Egypt,81200,76000,48000,48000
India,300000,320000,280000,280000
Indonesia,75200,74000,78000,78000
Iran,58000,60000,80000,81000
Japan,55300,54000,53000,53000
Korea Republic of,57500,55000,50000,50000
Russia,53700,57000,80000,80000
Turkey,72500,51000,90000,92000
Vietnam,90200,95000,90000,90000
Other countries (rounded),870000,900000,720000,720000
World total (rounded),4050000,4100000,3700000,3700000
