Nation,Cement 2010 (Gg),Cement 2011 (Gg),Clinker 2010 (Gg),Clinker 2011 (Gg)
United States (includes Puerto Rico),67200,68400,111000,108000
Brazil,59100,62600,50000,53000
China,1880000,2000000,1500000,1600000
Egypt,48000,45000,46000,46000
Germany,29900,33000,31000,31000
India,210000,210000,240000,250000
Indonesia,22000,22000,42000,42000
Iran,50000,52000,57000,59000
Italy,36300,35000,46000,46000
Japan,51500,47000,63000,60000
Korea Republic of,47200,46000,50000,50000
Mexico,34500,35000,42000,42000
Pakistan,30000,30000,42000,42000
Russia,50400,52000,65000,65000
Saudi Arabia,42300,44000,50000,50000
Spain,23500,20700,42000,42000
Thailand,36500,36000,50000,50000
Turkey,62700,64000,64000,66000
Vietnam,50000,50000,55000,55000
Other countries (rounded),480000,480000,460000,460000
World total (rounded),3310000,3400000,3100000,3200000
