Nation,Cement 1996 (Gg),Cement 1997 (Gg),Clinker 1996 (Gg),Clinker 1997 (Gg)
United States (includes Puerto Rico),80818,82500,77155,74500
Brazil,34597,36000,38500,39000
China,490000,510000,410000,420000
France,20000,20000,24000,24000
Germany,40000,40000,41900,42000
India,76220,80000,67500,70000
Indonesia,25000,30000,24000,25000
Italy,34000,34000,45700,46000
Japan,94492,95000,97032,97500
Korea Republic of,57334,59000,55800,56000
Mexico,22829,25000,43000,43000
Russia,27800,30000,67500,67500
Spain,25157,26000,33800,39000
Taiwan,21537,21500,23000,23000
Thailand,35000,30000,30000,30000
Turkey,32500,33500,28600,28600
Other countries,367280,350000,336000,340000
World total (rounded),1485000,1500000,1440000,1470000
