Nation,Cement 2013 (Gg),Cement 2014 (Gg),Clinker 2013 (Gg),Clinker 2014 (Gg)
United States (includes Puerto Rico),77400,83300,104300,104300
Brazil,70000,72000,60000,60000
China,2420000,2500000,1900000,2000000
Egypt,50000,50000,46000,46000
Germany,31300,31000,31000,31000
India,280000,280000,280000,280000
Indonesia,56000,60000,51000,50000
Iran,72000,75000,80000,80000
Italy,22000,22000,46000,46000
Japan,57400,58000,55000,55000
Korea Republic of,47300,47700,50000,50000
Mexico,34600,35000,42000,42000
Pakistan,31000,32000,43400,44000
Russia,66400,69000,80000,80000
Saudi Arabia,57000,63000,55000,55000
Thailand,42000,42000,50000,50000
Turkey,71300,75000,68500,69000
Vietnam,58000,60000,80000,80000
Other countries (rounded),536000,525000,348000,349000
World total (rounded),4080000,4180000,3470000,3570000
