Nation,Cement 2006 (Gg),Cement 2007 (Gg),Clinker 2006 (Gg),Clinker 2007 (Gg)
United States (includes Puerto Rico),99700,96400,101000,102000
Brazil,39500,40000,45000,45000
China,1200000,1300000,1000000,1100000
Egypt,29000,29000,35000,35000
France,21000,21000,22000,22000
Germany,33400,34000,31000,31000
India,155000,160000,150000,160000
Indonesia,34000,35000,42000,42000
Iran,33000,34000,35000,35000
Italy,43200,44000,46000,46000
Japan,69900,70000,70000,70000
Korea Republic of,55000,55000,62000,62000
Mexico,40600,41000,40000,40000
Russia,54700,59000,65000,65000
Saudi Arabia,27100,28000,29000,29000
Spain,54000,50000,42000,42000
Thailand,39400,40000,50000,50000
Turkey,47500,48000,41000,43000
Vietnam,32000,32000,20000,20000
Other countries (rounded),442000,390000,470000,470000
World total (rounded),2550000,2600000,2400000,2500000
