Nation,Cement 1997 (Gg),Cement 1998 (Gg),Clinker 1997 (Gg),Clinker 1998 (Gg)
United States (includes Puerto Rico),84255,87200,83147,83700
Brazil,38096,39000,38500,39000
China,492600,495000,410000,420000
France,19000,19000,24000,24000
Germany,37000,37000,41900,42000
India,80000,85000,72000,75000
Indonesia,26000,23000,26000,27000
Italy,33721,33500,45700,46000
Japan,91938,91000,95949,95500
Korea Republic of,59796,59000,55800,57000
Mexico,27548,28000,43000,43000
Russia,26600,25000,63000,63000
Spain,27632,28000,33800,34000
Taiwan,21522,22000,24000,24000
Thailand,36000,34000,40000,40000
Turkey,36035,37000,28600,28600
Other countries,379000,357000,336000,340000
World total (rounded),1515000,1500000,1440000,1470000
