Nation,Cement 2021 (Gg),Cement 2022 (Gg),Clinker 2021 (Gg),Clinker 2022 (Gg)
United States (includes Puerto Rico),93000,95000,100000,100000
Brazil,66000,65000,60000,60000
China,2400000,2100000,2000000,2000000
Egypt,50000,51000,48000,48000
India,350000,370000,280000,290000
Indonesia,65000,64000,79000,79000
Iran,62000,62000,81000,81000
Japan,50000,50000,54000,54000
Korea Republic of,50000,50000,62000,62000
Mexico,52000,50000,42000,42000
Russia,61000,62000,80000,80000
Saudi Arabia,54000,54000,75000,75000
Turkey,82000,85000,92000,92000
Vietnam,110000,120000,90000,100000
Other countries (rounded),850000,850000,600000,600000
World total (rounded),4400000,4100000,3700000,3800000
