Nation,Cement 2005 (Gg),Cement 2006 (Gg),Clinker 2005 (Gg),Clinker 2006 (Gg)
United States (includes Puerto Rico),101000,101000,104000,104000
Brazil,36700,37000,45000,45000
China,1040000,1100000,950000,980000
Egypt,29000,29000,35000,35000
France,21300,21000,22000,22000
Germany,30600,30000,31000,31000
India,145000,155000,150000,150000
Indonesia,37000,40000,42000,42000
Iran,32700,33000,34000,35000
Italy,46400,46000,46000,46000
Japan,69600,68000,74000,74000
Korea Republic of,51400,52000,62000,62000
Mexico,36000,40000,40000,40000
Russia,48700,54000,65000,65000
Saudi Arabia,26100,26000,24000,27000
Spain,50300,50000,42000,42000
Thailand,37900,40000,50000,50000
Turkey,42800,45000,40000,41000
Vietnam,29000,33000,17000,20000
Other countries (rounded),400000,500000,327000,389000
World total (rounded),2310000,2500000,2200000,2300000
