Nation,Cement 2000 (Gg),Cement 2001 (Gg),Clinker 2000 (Gg),Clinker 2001 (Gg)
United States (includes Puerto Rico),89510,91100,91228,93000
Brazil,39208,40000,45000,45000
China,583190,595000,550000,550000
Egypt,24143,22000,24000,30000
France,20000,21000,24000,24000
Germany,38000,40000,43000,43000
India,95000,100000,110000,115000
Indonesia,27789,28000,45000,45000
Iran,20000,23000,26000,27000
Italy,36000,36000,46000,46000
Japan,81300,82000,96000,96000
Korea Republic of,51255,52000,62000,62000
Mexico,31677,30000,40000,40000
Russia,32400,35000,65000,65000
Spain,30000,30000,40000,40000
Taiwan,18500,18500,24000,26000
Thailand,32000,32000,48000,48000
Turkey,35825,36000,33000,33000
Other countries (rounded),330000,340000,350000,350000
World total (rounded),1600000,1650000,1700000,1800000
