Nation,Cement 1999 (Gg),Cement 2000 (Gg),Clinker 1999 (Gg),Clinker 2000 (Gg)
United States (includes Puerto Rico),87777,92300,87781,90000
Brazil,40270,41500,45000,45000
China,573000,576000,550000,570000
Egypt,22000,23000,22000,22000
France,19527,20000,24000,24000
Germany,38099,37000,43000,43000
India,90000,95000,100000,100000
Indonesia,24000,27000,45000,46000
Italy,36000,35000,46000,46000
Japan,80120,77500,95000,95000
Korea Republic of,48157,50000,57000,57000
Mexico,29413,30000,43000,43000
Russia,28400,30000,63000,63000
Spain,30800,30000,40000,40000
Taiwan,18283,19000,24000,24000
Thailand,34500,38000,45000,45000
Turkey,34403,33000,32000,32000
Other countries (rounded),375000,450000,340000,350000
World total (rounded),1600000,1700000,1700000,1800000
