Nation,Cement 2001 (Gg),Cement 2002 (Gg),Clinker 2001 (Gg),Clinker 2002 (Gg)
United States (includes Puerto Rico),90450,90600,100360,102000
Brazil,39500,40000,44000,45000
China,626500,640000,550000,550000
Egypt,24500,26000,28000,35000
France,19839,20000,22000,22000
Germany,28034,28000,31000,31000
India,100000,100000,120000,120000
Indonesia,31100,32000,40000,40000
Iran,26650,28000,30000,30000
Italy,39804,39000,46000,46000
Japan,76550,75000,90000,90000
Korea Republic of,52012,53000,58000,60000
Mexico,29966,30000,37000,40000
Russia,35100,39000,65000,65000
Saudi Arabia,20608,21000,24000,24000
Spain,40512,40000,40000,40000
Thailand,27913,28000,48000,50000
Turkey,30120,31000,33000,33000
Other countries (rounded),361000,360000,300000,320000
World total (rounded),1700000,1720000,1700000,1700000
