Nation,Cement 2009 (Gg),Cement 2010 (Gg),Clinker 2009 (Gg),Clinker 2010 (Gg)
United States (includes Puerto Rico),64900,63500,114000,109000
Brazil,51700,59000,50000,55000
China,1629000,1800000,1300000,1500000
Egypt,46500,48000,45000,46000
Germany,30400,31000,31000,31000
India,205000,220000,250000,260000
Indonesia,40000,42000,42000,42000
Iran,50000,55000,50000,57000
Italy,36300,35000,46000,46000
Japan,54800,56000,63000,63000
Korea Republic of,50100,46000,50000,50000
Mexico,35200,34000,42000,42000
Pakistan,32000,30000,42000,45000
Russia,44300,49000,65000,65000
Saudi Arabia,40000,45000,40000,50000
Spain,50000,50000,42000,42000
Thailand,31200,31000,50000,50000
Turkey,54000,60000,63000,65000
Vietnam,47900,50000,50000,55000
Other countries (rounded),466000,520000,460000,470000
World total (rounded),3060000,3300000,2900000,3100000
