Nation,Cement 2008 (Gg),Cement 2009 (Gg),Clinker 2008 (Gg),Clinker 2009 (Gg)
United States (includes Puerto Rico),87600,72800,108000,111000
Brazil,51900,53000,45000,45000
China,1390000,1400000,1000000,1100000
Egypt,40000,40000,38000,38000
France,21700,21000,22000,22000
Germany,33600,33000,31000,31000
India,177000,180000,200000,200000
Indonesia,37000,37000,42000,42000
Iran,44400,45000,36000,40000
Italy,43000,43000,46000,46000
Japan,62800,60000,70000,70000
Korea Republic of,53900,53000,62000,62000
Mexico,47600,45000,42000,42000
Pakistan,39000,40000,36000,38000
Russia,53600,55000,65000,65000
Saudi Arabia,31800,32000,29000,30000
Spain,42100,42000,42000,42000
Thailand,35600,35000,50000,50000
Turkey,51400,51000,45000,45000
Vietnam,37000,37000,35000,35000
Other countries (rounded),459000,450000,400000,410000
World total (rounded),2840000,2800000,2400000,2600000
