Nation,Cement 2022 (Gg),Cement 2023 (Gg),Clinker 2022 (Gg),Clinker 2023 (Gg)
United States (includes Puerto Rico),93000,91000,100000,100000
Brazil,64000,63000,60000,60000
China,2100000,2100000,2000000,2000000
Egypt,46000,50000,60000,60000
India,380000,410000,290000,300000
Indonesia,64000,62000,79000,79000
Iran,59000,65000,81000,81000
Japan,53000,50000,54000,54000
Korea Republic of,51000,50000,62000,62000
Mexico,50000,50000,42000,42000
Russia,61000,57000,80000,80000
Saudi Arabia,52000,53000,75000,75000
Turkey,74000,79000,92000,92000
Vietnam,120000,110000,100000,110000
Other countries (rounded),850000,850000,600000,600000
World total (rounded),4100000,4100000,3800000,3800000
