Nation,Cement 2004 (Gg),Cement 2005 (Gg),Clinker 2004 (Gg),Clinker 2005 (Gg)
United States (includes Puerto Rico),99000,99100,105000,106000
Brazil,38000,39000,45000,45000
China,934000,1000000,850000,850000
Egypt,28000,27000,35000,35000
France,21000,20000,22000,22000
Germany,32000,32000,31000,31000
India,125000,130000,150000,150000
Indonesia,36000,37000,42000,42000
Iran,30000,32000,33000,35000
Italy,38000,38000,46000,46000
Japan,67400,66000,76000,74000
Korea Republic of,53900,50000,62000,62000
Mexico,35000,36000,40000,40000
Russia,43000,45000,65000,65000
Saudi Arabia,23200,24000,24000,24000
Spain,46800,48000,40000,40000
Thailand,35600,40000,50000,50000
Turkey,38000,38000,35000,35000
Vietnam,25300,27000,20000,22000
Other countries (rounded),381000,392000,330000,346000
World total (rounded),2130000,2220000,2100000,2120000
