Nation,Cement 2014 (Gg),Cement 2015 (Gg),Clinker 2014 (Gg),Clinker 2015 (Gg)
United States (includes Puerto Rico),83200,83400,105600,106000
Brazil,72000,72000,60000,60000
China,2480000,2350000,2000000,2000000
Egypt,50000,55000,46000,46000
Germany,32000,32000,31000,31000
India,260000,270000,280000,280000
Indonesia,65000,65000,59000,59000
Iran,65000,65000,78600,79000
Italy,22000,23000,46000,46000
Japan,53800,55000,55000,55000
Korea Republic of,63200,63000,50000,50000
Mexico,35000,35000,42000,42000
Pakistan,32000,32000,44000,44000
Russia,68400,69000,80000,80000
Saudi Arabia,55000,55000,55000,55000
Thailand,35000,35000,50000,50000
Turkey,75000,77000,69000,69000
Vietnam,60500,61000,80000,80000
Other countries (rounded),573000,603000,369000,368000
World total (rounded),4180000,4100000,3600000,3600000
