Nation,Cement 2017 (Gg),Cement 2018 (Gg),Clinker 2017 (Gg),Clinker 2018 (Gg)
United States (includes Puerto Rico),86600,88500,107000,108000
Brazil,53000,52000,60000,60000
China,2320000,2370000,2000000,2000000
Egypt,53000,55000,48000,48000
India,290000,290000,280000,280000
Indonesia,65000,67000,78000,78000
Iran,54000,53000,80000,80000
Japan,55200,55500,53000,53000
Korea Republic of,56500,56000,50000,50000
Russia,54700,55000,80000,80000
Saudi Arabia,47100,45000,75000,75000
Turkey,80600,84000,80000,82000
Vietnam,78800,80000,90000,90000
Other countries (rounded),756000,759000,717000,716000
World total (rounded),4050000,4100000,3800000,3800000
