Nation,Cement 2015 (Gg),Cement 2016 (Gg),Clinker 2015 (Gg),Clinker 2016 (Gg)
United States (includes Puerto Rico),84300,85900,107000,109000
Brazil,65300,60000,60000,60000
China,2350000,2410000,2000000,2000000
Egypt,55000,55000,46000,46000
India,300000,290000,280000,280000
Indonesia,58000,63000,64000,78000
Iran,58600,53000,79000,79000
Japan,54800,56000,53000,53000
Korea Republic of,51700,55000,50000,50000
Russia,62100,56000,80000,80000
Saudi Arabia,61900,61000,65000,75000
Turkey,71400,77000,76000,77000
Vietnam,67400,70000,80000,90000
Other countries (rounded),760000,810000,560000,620000
World total (rounded),4100000,4200000,3600000,3700000
