Nation,Cement 2002 (Gg),Cement 2003 (Gg),Clinker 2002 (Gg),Clinker 2003 (Gg)
United States (includes Puerto Rico),91300,92600,101000,103000
Brazil,39500,40000,45000,45000
China,705000,750000,700000,730000
Egypt,23000,26000,35000,35000
France,20000,20000,22000,22000
Germany,30000,28000,31000,31000
India,100000,110000,120000,120000
Indonesia,33000,34000,50000,50000
Iran,30000,31000,30000,33000
Italy,40000,40000,46000,46000
Japan,71800,72000,80300,80000
Korea Republic of,55500,56000,62000,62000
Mexico,31100,31500,40000,40000
Russia,37700,40000,65000,65000
Saudi Arabia,21000,23000,24000,24000
Spain,42500,40000,40000,40000
Thailand,31700,35000,47000,50000
Turkey,32600,33000,35000,35000
Other countries (rounded),360000,360000,330000,340000
World total (rounded),1800000,1860000,1900000,1950000
