Nation,Cement 2019 (Gg),Cement 2020 (Gg),Clinker 2019 (Gg),Clinker 2020 (Gg)
United States (includes Puerto Rico),89000,90000,103000,103000
Brazil,54000,57000,60000,60000
China,2300000,2200000,1970000,1970000
Egypt,47000,50000,48000,48000
India,340000,340000,280000,280000
Indonesia,70000,73000,78000,78000
Iran,60000,60000,81000,81000
Japan,53000,53000,53000,53000
Korea Republic of,50000,50000,50000,50000
Russia,56000,56000,80000,80000
Turkey,57000,66000,92000,92000
Vietnam,97000,96000,90000,90000
Other countries (rounded),880000,890000,720000,720000
World total (rounded),4100000,4100000,3700000,3700000
