Nation,Cement 1998 (Gg),Cement 1999 (Gg),Clinker 1998 (Gg),Clinker 1999 (Gg)
United States (includes Puerto Rico),85612,87300,84390,85100
Brazil,43000,43000,45000,45000
China,513500,520000,520000,500000
Egypt,19203,20000,20000,20000
France,19500,19500,24000,24000
Germany,36610,37000,42000,42000
India,85000,87000,90000,92000
Indonesia,22000,25000,45000,48000
Italy,35000,35000,46000,46000
Japan,81328,80000,95500,90000
Korea Republic of,46791,55000,57000,57000
Mexico,27744,30000,43000,43000
Russia,26726,27000,63000,63000
Spain,27943,28000,34000,34000
Taiwan,19538,21000,24000,24000
Thailand,30000,34000,45000,45000
Turkey,38200,37000,28600,30000
Other countries (rounded),360000,370000,410000,420000
World total (rounded),1520000,1560000,1720000,1710000
