Nation,Cement 1995 (Gg),Cement 1996 (Gg),Clinker 1995 (Gg),Clinker 1996 (Gg)
United States (includes Puerto Rico),78320,84000,77285,80000
Brazil,25500,30000,35000,38000
China,445610,450000,400000,410000
France,21000,20000,27000,27000
Germany,40000,40000,49000,49000
India,70000,70000,75000,80000
Indonesia,19500,22500,22500,27000
Italy,35000,35000,45000,45000
Japan,90474,90000,97500,96400
Korea Republic of,55130,56500,57000,58000
Mexico,23971,28000,40000,43000
Russia,36400,36000,80000,80000
Spain,25000,25000,23000,23000
Taiwan,22478,24000,23000,23000
Thailand,26500,35000,30000,35000
Turkey,33153,35000,30000,31000
Other countries,373300,375000,350000,360000
World total (rounded),1421300,1460000,1500000,1500000
