Nation,Cement 2023 (Gg),Cement 2024 (Gg),Clinker 2023 (Gg),Clinker 2024 (Gg)
United States (includes Puerto Rico),90000,86000,100000,100000
Brazil,67000,68000,60000,60000
China,2000000,1900000,2000000,1900000
Egypt,52000,50000,60000,60000
India,420000,450000,300000,380000
Indonesia,67000,65000,79000,79000
Iran,71000,72000,81000,85000
Japan,48000,46000,54000,50000
Korea Republic of,51000,52000,62000,62000
Mexico,48000,48000,42000,42000
Russia,63000,65000,80000,80000
Saudi Arabia,49000,50000,75000,75000
Turkey,81000,82000,92000,92000
Vietnam,110000,110000,110000,110000
Other countries (rounded),850000,860000,600000,650000
World total (rounded),4100000,4000000,3800000,3800000
