Nation,Cement 2003 (Gg),Cement 2004 (Gg),Clinker 2003 (Gg),Clinker 2004 (Gg)
United States (includes Puerto Rico),94300,96500,102000,103000
Brazil,38000,38000,45000,45000
China,813000,850000,750000,750000
Egypt,29100,35000,35000,35000
France,20000,19000,22000,22000
Germany,30000,28000,31000,31000
India,110000,110000,120000,130000
Indonesia,35000,30000,50000,50000
Iran,30000,30000,33000,35000
Italy,38000,38000,46000,46000
Japan,71000,69000,78000,78000
Korea Republic of,59200,60000,62000,62000
Mexico,32000,35000,40000,40000
Russia,41000,46000,65000,65000
Saudi Arabia,23000,25000,24000,24000
Spain,42000,40000,40000,40000
Thailand,32500,35000,49000,50000
Turkey,33000,34000,35000,35000
Other countries (rounded),380000,380000,330000,350000
World total (rounded),1950000,2000000,1960000,2000000
