Nation,Cement 2011 (Gg),Cement 2012 (Gg),Clinker 2011 (Gg),Clinker 2012 (Gg)
United States (includes Puerto Rico),68600,74000,106000,105000
Brazil,64100,70000,56000,57000
China,2100000,2150000,1700000,1750000
Egypt,44000,44000,46000,46000
Germany,33500,34000,31000,31000
India,240000,250000,250000,250000
Indonesia,30000,31000,45000,46000
Iran,61000,65000,70000,75000
Italy,33100,32000,46000,46000
Japan,51300,52000,55000,55000
Korea Republic of,48300,49000,50000,50000
Mexico,35400,36000,42000,42000
Pakistan,32000,32000,42000,42000
Russia,55600,60000,75000,80000
Saudi Arabia,48400,43000,55000,55000
Spain,22200,20000,42000,41000
Thailand,36700,33000,48000,50000
Turkey,63400,60000,65000,66000
Vietnam,59000,65000,65000,68000
Other countries (rounded),470000,500000,440000,450000
World total (rounded),3600000,3700000,3300000,3400000
